AccountTypeServiceId,AccountTypeId,ServiceTypeId,DefaultRate,DefaultEstimatedTime,IsActive
1,1,3,.0000,0,1
17,2,3,.0000,0,1
18,1,4,.0000,0,1
19,1,5,.0000,0,1
20,1,6,.0000,0,1
21,1,7,.0000,0,1
22,1,8,.0000,0,1
23,1,9,.0000,0,1
24,1,10,.0000,0,1
30,1,13,.0000,0,1
31,1,16,.0000,0,1
32,1,18,.0000,0,1
33,2,8,.0000,0,1
34,2,15,.0000,0,1
35,2,14,.0000,0,1
37,2,5,.0000,0,1
40,2,17,.0000,0,1
41,2,6,.0000,0,1
42,2,13,.0000,0,1
43,2,10,.0000,0,1
44,2,18,.0000,0,1
45,2,4,.0000,0,1
46,2,16,.0000,0,1
47,2,9,.0000,0,1
48,2,19,.0000,0,1
49,1,19,.0000,0,1
51,1,21,.0000,0,1
52,2,20,.0000,0,1
53,2,21,.0000,0,1
54,1,22,.0000,0,1
55,2,22,.0000,0,1
56,1,30,.0000,0,1
57,2,30,.0000,0,1
58,1,31,.0000,0,1
59,2,31,.0000,0,1
62,1,34,.0000,0,1
65,1,37,.0000,0,1
74,1,48,.0000,0,1
77,2,50,.0000,0,1
80,2,58,.0000,0,1
83,1,59,.0000,0,1
84,2,59,.0000,0,1
88,1,63,.0000,0,1
90,1,66,.0000,0,1
92,2,63,.0000,0,1
97,1,77,.0000,0,1
104,1,84,.0000,0,1
108,1,86,.0000,0,1
112,1,15,.0000,0,1
125,2,7,.0000,0,1
127,2,84,.0000,0,1
133,1,106,.0000,0,1
135,1,112,.0000,0,1
136,2,112,.0000,0,1
137,2,86,.0000,0,1
146,2,134,.0000,0,1
147,2,135,.0000,0,1
149,2,77,.0000,0,1
152,1,85,.0000,0,1
153,2,85,.0000,0,1
155,1,138,.0000,0,1
156,1,134,.0000,0,1
157,2,138,.0000,0,1
159,1,140,.0000,0,1
160,1,141,.0000,0,1
161,2,141,.0000,0,1
163,1,147,.0000,0,1
164,1,148,.0000,0,1
165,1,149,.0000,0,1
166,1,150,.0000,0,1
167,1,151,.0000,0,1
168,1,152,.0000,0,1
171,2,155,.0000,0,1
172,1,145,.0000,0,1
173,2,157,.0000,0,1
174,1,159,.0000,0,1
175,2,159,.0000,0,1
176,1,160,.0000,0,1
177,2,160,.0000,0,1
178,2,145,.0000,0,1
180,2,151,.0000,0,1
181,2,150,.0000,0,1
182,2,163,.0000,0,1
183,2,164,.0000,0,1
187,1,167,.0000,0,1
188,2,167,.0000,0,1
189,1,163,.0000,0,1
190,2,149,.0000,0,1
191,1,168,.0000,0,1
192,2,168,.0000,0,1
196,2,170,.0000,0,1
198,2,172,.0000,0,1
199,2,148,.0000,0,1
201,1,173,.0000,0,1
202,1,174,.0000,0,1
203,1,175,.0000,0,1
204,2,176,.0000,0,1
207,2,178,.0000,0,1
208,1,179,.0000,0,1
210,1,181,.0000,0,1
211,2,182,.0000,0,1
212,1,165,.0000,0,1
213,1,184,.0000,0,1
214,2,185,.0000,0,1
215,1,185,.0000,0,1
216,1,186,.0000,0,1
217,1,187,.0000,0,1
218,2,187,.0000,0,1
219,1,188,.0000,0,1
220,1,140,.0000,0,1
221,2,140,.0000,0,1
222,2,66,.0000,0,1
223,2,192,.0000,0,1
224,1,192,.0000,0,1
225,2,193,.0000,0,1
226,1,194,.0000,0,1
227,1,195,.0000,0,1
228,2,195,.0000,0,1
229,2,196,.0000,0,1
230,1,197,.0000,0,1
231,1,198,.0000,0,1
232,1,199,.0000,0,1
233,2,201,.0000,0,1
234,2,200,.0000,0,1
235,2,202,.0000,0,1
236,1,203,.0000,0,1
237,1,106,.0000,0,1
238,2,106,.0000,0,1
239,1,205,.0000,0,1
240,1,206,.0000,0,1
241,2,206,.0000,0,1
242,2,205,.0000,0,1
243,1,207,.0000,0,1
244,2,197,.0000,0,1
245,1,208,.0000,0,1
246,2,208,.0000,0,1
247,1,209,.0000,0,1
248,2,209,.0000,0,1
249,1,210,.0000,0,1
250,1,211,.0000,0,1
251,1,212,.0000,0,1
252,2,212,.0000,0,1
253,1,213,.0000,0,1
254,2,213,.0000,0,1
255,2,167,.0000,0,1
256,2,214,.0000,0,1
257,2,194,.0000,0,1
258,2,215,.0000,0,1
259,2,216,.0000,0,1
260,1,217,.0000,0,1
261,2,218,.0000,0,1
262,1,218,.0000,0,1
263,1,219,.0000,0,1
264,1,220,.0000,0,1
265,2,210,.0000,0,1
266,2,155,.0000,0,1
267,2,155,.0000,0,1
268,1,155,.0000,0,1
269,2,221,.0000,0,1
270,1,216,.0000,0,1
271,1,222,.0000,0,1
272,2,222,.0000,0,1
273,1,223,.0000,0,1
