LaborTypeId,Description
1,WET BAY
2,INTERIOR
3,BUFF BAY
4,TOUCH UP
5,EXTERIOR COATING 
6,CARPET DYE
7,WET SANDING
8,FRESHEN UP
9,PADDING
10,CARPETS
11,HAND WASH & WAX
12,HEADLIGHT
13,SCRATCH
14,UNDERCOAT
15,PINSTRIPE REMOVAL
16,TINT
17,INTERIOR COATING
18,BUG SHEILD
19,USED CAR DETAIL
20,NEW CAR DETAIL
21,RESTOCK
22,NEW CAR PRE DELIVERY
23,PRE DELIVERY
25,DELIVERY
26,CUSTOMER DETAIL
27,COURTESY WASH
28,DEMO
29,FLEET
30,SHOWROOM
31,PDR
32,WHEEL REPAIR
33,WINDOW TINT
34,OVER SPRAY
36,REPAIR
38,COATING
40,DEALER TRADE
41,PINSTRIPE
42,REFRESH
43,REPLACE CLEAR BRA
45,POLISH SCRATCHES
46,FOG LIGHT REPAIR
47,RIM COATING
48,WINDOW
49,WATERSPOT
50,BED COVER INSTALL
51,GOLF SHOW
52,ENGINE
53,ENGINE ONLY
54,SHOP HELP & HOURS
55,DRIVING / RUNS
56,CLEAN BREAK ROOM AND OFFICE
57,PAINT PERFECTION
58,SEATS
59,DETAIL
60,GROUNDED LOANER
61,WASH AND WAX 
62,PAINT FRAME
63,TAR
64,FABRIC GUARD
65,PAINT REMOVAL
66,WET BUFF
67,RAIN GUARD
68,ROAD PAINT
69,RAIL DUST
70,DECAL
71,PET HAIR
72,PAINT WHEELS
73,BUMPER DYE
74,PAINT
75,SEAT DYE
76,GLASS
77,BUFF BUMPER
78,SEATBELT CLEANING
79,SEATBELTS
80,DYE PART OF INTERIOR
81,DYE SEATS
82,BREAKROOM/BATHROOMS
83,HEADLINER
84,SAP
85,SCOTCHGUARD
86,SOFT TOP CLEAN
87,NEW CENTER CONSOLE
88,VACUUM
89,DOOR GUARD
90,CLEANING BREAKROOM/RESTROOMS
91,COAT WHEELS
92,TRUNK ONLY
93,GLASS REMOVAL
94,INSPECTION
95,DYE DOOR
96,PARTS
97,FILM REMOVAL
99,CHIP
100,TRIM DYE
101,HAIL DAMAGE
102,SEAT REPAIR
103,PAINT CORRECTION
104,REFINISH FENDERS
105,WATER SPOT GLASS REMOVAL 
106,CERAMIC
107,WET SAND 
108,GO FUCK YOURSELF
